"","X.2","X.1","X","Date","Kick.Off..local.","Home.Team","Away.Team","Venue","Home.Score","Away.Score","Play.Off.Game.","Home.Goals","Home.Behinds","Away.Goals","Away.Behinds","Home.Odds","Away.Odds","Bookmakers.Surveyed","Home.Odds.Open","Home.Odds.Min","Home.Odds.Max","Home.Odds.Close","Away.Odds.Open","Away.Odds.Min","Away.Odds.Max","Away.Odds.Close","Home.Line.Open","Home.Line.Min","Home.Line.Max","Home.Line.Close","Away.Line.Open","Away.Line.Min","Away.Line.Max","Away.Line.Close","Home.Line.Odds.Open","Home.Line.Odds.Min","Home.Line.Odds.Max","Home.Line.Odds.Close","Away.Line.Odds.Open","Away.Line.Odds.Min","Away.Line.Odds.Max","Away.Line.Odds.Close","Total.Score.Open","Total.Score.Min","Total.Score.Max","Total.Score.Close","Total.Score.Over.Open","Total.Score.Over.Min","Total.Score.Over.Max","Total.Score.Over.Close","Total.Score.Under.Open","Total.Score.Under.Min","Total.Score.Under.Max","Total.Score.Under.Close","Notes","Home","Favorite","Underdog","Differential"
"23",23,23,23,"2019","15:20:00","St Kilda","Carlton","Marvel Stadium",68,55,NA,9,14,8,7,1.5,2.57,8,1.56,1.38,1.58,1.48,2.45,2.4,3.1,2.75,-9.5,-18.5,-9.5,-13.5,9.5,9.5,18.5,13.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,163.5,163.5,167.5,166.5,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,NA,1.5,1.5,2.57,1.07
"24",24,24,24,"2019","13:10:00","Melbourne","GWS Giants","MCG",68,94,NA,10,8,14,10,2.48,1.54,9,2.15,2.02,2.62,2.55,1.72,1.5,1.8,1.54,4.5,2.5,12.5,11.5,-4.5,-12.5,-2.5,-11.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,165.5,162.5,165.5,163.5,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,NA,2.48,1.54,2.48,0.94
"25",25,25,25,"2019","19:25:00","Gold Coast","Geelong","Metricon Stadium",64,91,NA,9,10,13,13,6.24,1.12,9,5.5,5.5,7.25,7.25,1.15,1.11,1.15,1.11,34.5,32.5,36.5,36.5,-34.5,-36.5,-32.5,-36.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,154.5,154.5,155.5,155.5,1.89,1.89,1.91,1.91,1.89,1.89,1.91,1.91,NA,6.24,1.12,6.24,5.12
"26",26,26,26,"2019","19:25:00","Richmond","Essendon","MCG",73,50,NA,10,13,6,14,1.63,2.26,9,1.58,1.4,1.68,1.68,2.4,2.25,3,2.25,-9.5,-15.5,-6.5,-7.5,9.5,6.5,15.5,7.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,159.5,142.5,159.5,142.5,1.89,1.91,1.89,1.91,1.89,1.91,1.89,1.91,NA,1.63,1.63,2.26,0.63
"27",27,27,27,"2019","16:05:00","Adelaide","West Coast","Adelaide Oval",73,85,NA,10,13,13,7,1.55,2.43,9,1.7,1.54,1.87,1.54,2.18,1.95,2.55,2.55,-5.5,-12.5,-1.5,-12.5,5.5,1.5,12.5,12.5,1.91,1.91,1.95,1.91,1.91,1.87,1.91,1.91,156.5,150.5,156.5,153.5,1.89,1.89,1.89,1.91,1.89,1.89,1.89,1.91,NA,1.55,1.55,2.43,0.88
"28",28,28,28,"2019","14:10:00","Western Bulldogs","North Melbourne","Marvel Stadium",90,115,NA,13,12,18,7,1.6,2.31,9,1.65,1.54,1.68,1.6,2.25,2.2,2.5,2.4,-7.5,-10.5,-6.5,-8.5,7.5,6.5,10.5,8.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,168.5,168.5,172.5,172.5,1.89,1.89,1.91,1.91,1.89,1.89,1.91,1.91,NA,1.6,1.6,2.31,0.71
"29",29,29,29,"2019","13:45:00","Hawthorn","Port Adelaide","University of Tasmania Stadium",80,49,NA,12,8,6,13,1.7,2.14,9,1.58,1.58,1.78,1.68,2.4,2.05,2.4,2.25,-9.5,-9.5,-3.5,-7.5,9.5,3.5,9.5,7.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,161.5,155.5,161.5,155.5,1.89,1.91,1.89,1.91,1.89,1.91,1.89,1.91,NA,1.7,1.7,2.14,0.44
"30",30,30,30,"2019","19:50:00","Sydney","Collingwood","SCG",73,80,NA,11,7,11,14,2.77,1.44,8,3.6,2.6,3.6,2.85,1.3,1.3,1.5,1.45,21.5,12.5,21.5,14.5,-21.5,-21.5,-12.5,-14.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,165.5,162.5,165.5,162.5,1.89,1.89,1.89,1.91,1.89,1.89,1.89,1.91,NA,2.77,1.44,2.77,1.33
"31",31,31,31,"2019","16:40:00","GWS Giants","Carlton","Spotless Stadium",138,45,NA,20,18,7,3,1.1,6.73,9,1.05,1.05,1.13,1.11,10,6,10,7.25,-48.5,-48.5,-35.5,-39.5,48.5,35.5,48.5,39.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,165.5,165.5,167.5,167.5,1.89,1.89,1.91,1.91,1.89,1.89,1.91,1.91,NA,1.1,1.1,6.73,5.63
"32",32,32,32,"2019","15:20:00","Richmond","Hawthorn","MCG",95,59,NA,14,11,8,11,1.74,2.07,9,1.44,1.44,1.8,1.8,2.8,2.05,2.8,2.05,-14.5,-14.5,-3.5,-3.5,14.5,3.5,14.5,3.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,165.5,164.5,166.5,166.5,1.89,1.89,1.91,1.91,1.89,1.89,1.91,1.91,NA,1.74,1.74,2.07,0.33
