"","X","Day","Date","Year","Time","Home","Away","Attendance","Venue","Home.Odds","Away.Odds","Line","Favorite","Underdog","Differential","venueavg","Attendance_Differential","HomeVenueAvg","HomeDifferential","HomeDifferentialPct","TimeBucket"
"60",60,"Sat","18-Jul-2009",2009,"2:10","Geelong","Melbourne",21160,"Kardinia",1.04,10.25,NA,1.04,10.25,9.21,24884.9718309859,-3724.97183098592,24884.9718309859,-3724.97183098592,-0.149687604883993,2
"61",61,"Sat","18-Jul-2009",2009,"2:10","Carlton","Sydney",42018,"Docklands",1.23,3.91,NA,1.23,3.91,2.68,31157.9865168539,10860.0134831461,32309.6481481481,9708.35185185185,0.300478414600386,2
"62",62,"Fri","17-Jul-2009",2009,"7:40","Essendon","Western Bulldogs",47120,"Docklands",3.1,1.36,NA,1.36,3.1,1.74,31157.9865168539,15962.0134831461,36322.6666666667,10797.3333333333,0.29726158138169,7
"63",63,"Sun","12-Jul-2009",2009,"2:10","Melbourne","Port Adelaide",15888,"M.C.G.",2.89,1.38,NA,1.38,2.89,1.51,50394.4829157175,-34506.4829157175,35367.7023809524,-19479.7023809524,-0.55077658625185,2
"64",64,"Sun","12-Jul-2009",2009,"1:10","Hawthorn","North Melbourne",15008,"York",1.5,2.5,NA,1.5,2.5,1,14457.1578947368,550.842105263158,14457.1578947368,550.842105263158,0.038101687017176,1
"65",65,"Sun","12-Jul-2009",2009,"2:40","West Coast","St Kilda",36259,"Subiaco",4.7,1.17,NA,1.17,4.7,3.53,35153.3529411765,1105.64705882353,36141.247311828,117.752688172041,0.00325812463405223,2
"66",66,"Sat","11-Jul-2009",2009,"7:10","Adelaide","Fremantle",32451,"Football",1.14,5.44,NA,1.14,5.44,4.3,29323.4845360825,3127.51546391753,35829.2040816327,-3378.20408163266,-0.0942863278217348,7
"67",67,"Sat","11-Jul-2009",2009,"7:10","Brisbane Lions","Geelong",34274,"Gabba",2.28,1.57,NA,1.57,2.28,0.71,20680.4862385321,13593.5137614679,20786.5428571429,13487.4571428571,0.648855234636695,7
"68",68,"Sat","11-Jul-2009",2009,"2:10","Carlton","Richmond",50784,"M.C.G.",1.25,3.76,NA,1.25,3.76,2.51,50394.4829157175,389.517084282459,52695.2941176471,-1911.29411764706,-0.0362706793775535,2
"69",69,"Sat","11-Jul-2009",2009,"2:10","Sydney","Essendon",30924,"S.C.G.",1.66,2.14,NA,1.66,2.14,0.48,29955.7356321839,968.264367816093,29955.7356321839,968.264367816093,0.0323231710849994,2
"70",70,"Fri","10-Jul-2009",2009,"7:40","Western Bulldogs","Collingwood",51382,"Docklands",1.56,2.34,NA,1.56,2.34,0.78,31157.9865168539,20224.0134831461,28841.2391304348,22540.7608695652,0.781546200828071,7
"71",71,"Sun","05-Jul-2009",2009,"3:10","St Kilda","Geelong",54444,"Docklands",2.3,1.56,NA,1.56,2.3,0.74,31157.9865168539,23286.0134831461,30626.3473684211,23817.6526315789,0.777685054801456,3
"72",72,"Sun","05-Jul-2009",2009,"2:40","Fremantle","Carlton",34720,"Subiaco",2.28,1.57,NA,1.57,2.28,0.71,35153.3529411765,-433.352941176468,34175.9680851064,544.031914893618,0.0159185517009744,2
"73",73,"Sun","05-Jul-2009",2009,"1:10","Sydney","North Melbourne",21929,"S.C.G.",1.31,3.32,NA,1.31,3.32,2.01,29955.7356321839,-8026.73563218391,29955.7356321839,-8026.73563218391,-0.26795321372646,1
"74",74,"Sat","04-Jul-2009",2009,"7:10","Western Bulldogs","Hawthorn",36827,"Docklands",1.4,2.8,NA,1.4,2.8,1.4,31157.9865168539,5669.01348314607,28841.2391304348,7985.76086956522,0.276886885249609,7
"75",75,"Sat","04-Jul-2009",2009,"7:10","Richmond","Adelaide",11174,"Carrara",3.78,1.25,NA,1.25,3.78,2.53,14013.1604938272,-2839.16049382716,11174,0,0,7
"76",76,"Sat","04-Jul-2009",2009,"2:40","Port Adelaide","Brisbane Lions",20293,"Football",2.3,1.57,NA,1.57,2.3,0.73,29323.4845360825,-9030.48453608247,22682.2291666667,-2389.22916666667,-0.105334848224611,2
"77",77,"Sat","04-Jul-2009",2009,"2:10","Melbourne","West Coast",23149,"M.C.G.",1.96,1.75,NA,1.75,1.96,0.21,50394.4829157175,-27245.4829157175,35367.7023809524,-12218.7023809524,-0.345476283682281,2
"78",78,"Fri","03-Jul-2009",2009,"7:40","Collingwood","Essendon",77699,"M.C.G.",1.5,2.5,NA,1.5,2.5,1,50394.4829157175,27304.5170842825,57107.1149425287,20591.8850574713,0.360583529358723,7
"79",79,"Sun","28-Jun-2009",2009,"4:40","St Kilda","Richmond",38196,"Docklands",1.07,7.63,NA,1.07,7.63,6.56,31157.9865168539,7038.01348314607,30626.3473684211,7569.65263157895,0.247161456784887,4
"80",80,"Sun","28-Jun-2009",2009,"2:10","North Melbourne","Western Bulldogs",31470,"M.C.G.",5.03,1.16,NA,1.16,5.03,3.87,50394.4829157175,-18924.4829157175,31470,0,0,2
