"","...1","Round","Day","Date","Year","Time","Home","Away","Attendance","Venue","Home.Odds","Away.Odds","Line","Favorite","Underdog","Differential","venueavg","Attendance_Differential","HomeVenueAvg","HomeDifferential","HomeDifferentialPct","TimeBucket"
"35",635,2,"Sun",2012-04-08,2012,1899-12-31 01:10:00,"North Melbourne","Greater Western Sydney",11127,"Bellerive",1.01,15.94,"NA",1.01,15.94,14.93,12573.0555555556,-1446.05555555555,12573.0555555556,-1446.05555555555,-0.11501226167068,1
"36",644,1,"Sat",2012-03-31,2012,1899-12-31 07:45:00,"North Melbourne","Essendon",45818,"Docklands",2.14,1.66,"NA",1.66,2.14,0.48,31157.9865168539,14660.0134831461,27670.4819277108,18147.5180722892,0.6558439466179,7
"37",666,22,"Sat",2013-08-24,2013,1899-12-31 02:10:00,"North Melbourne","Hawthorn",33039,"Docklands",3.28,1.34,"NA",1.34,3.28,1.94,31157.9865168539,1881.01348314607,27670.4819277108,5368.51807228916,0.194016066880021,2
"38",695,19,"Fri",2013-08-02,2013,1899-12-31 07:50:00,"North Melbourne","Geelong",33584,"Docklands",3.35,1.32,"NA",1.32,3.35,2.03,31157.9865168539,2426.01348314607,27670.4819277108,5913.51807228916,0.213712145951712,7
"39",713,17,"Fri",2013-07-19,2013,1899-12-31 07:50:00,"North Melbourne","Carlton",37443,"Docklands",1.65,2.21,"NA",1.65,2.21,0.56,31157.9865168539,6285.01348314607,27670.4819277108,9772.51807228916,0.353174841617138,7
"40",729,15,"Sat",2013-07-06,2013,1899-12-31 02:10:00,"North Melbourne","Richmond",45966,"Docklands",2.65,1.47,"NA",1.47,2.65,1.18,31157.9865168539,14808.0134831461,27670.4819277108,18295.5180722892,0.66119260662269,2
"41",733,14,"Sun",2013-06-30,2013,1899-12-31 03:20:00,"North Melbourne","Greater Western Sydney",15438,"Docklands",1.01,18.75,"NA",1.01,18.75,17.74,31157.9865168539,-15719.9865168539,27670.4819277108,-12232.4819277108,-0.442076938149043,3
"42",760,10,"Sun",2013-06-02,2013,1899-12-31 04:40:00,"North Melbourne","St Kilda",25658,"Docklands",1.22,4.29,"NA",1.22,4.29,3.07,31157.9865168539,-5499.98651685393,27670.4819277108,-2012.48192771084,-0.0727302810615462,4
"43",769,9,"Sun",2013-05-26,2013,1899-12-31 03:20:00,"North Melbourne","Adelaide",23033,"Docklands",1.44,2.74,"NA",1.44,2.74,1.3,31157.9865168539,-8124.98651685393,27670.4819277108,-4637.48192771084,-0.167596716957307,3
"44",801,6,"Sat",2013-05-04,2013,1899-12-31 02:10:00,"North Melbourne","Port Adelaide",10265,"Bellerive",1.38,2.98,"NA",1.38,2.98,1.6,12573.0555555556,-2308.05555555555,12573.0555555556,-2308.05555555555,-0.183571570598502,2
"45",813,4,"Sun",2013-04-21,2013,1899-12-31 04:40:00,"North Melbourne","Brisbane Lions",22776,"Docklands",1.27,3.78,"NA",1.27,3.78,2.51,31157.9865168539,-8381.98651685393,27670.4819277108,-4894.48192771084,-0.176884592776435,4
"46",829,3,"Sat",2013-04-13,2013,1899-12-31 01:45:00,"North Melbourne","Sydney",13223,"Bellerive",2.11,1.72,"NA",1.72,2.11,0.39,12573.0555555556,649.944444444445,12573.0555555556,649.944444444445,0.0516934361398936,1
"47",841,1,"Sun",2013-03-31,2013,1899-12-31 04:40:00,"North Melbourne","Collingwood",41040,"Docklands",2.38,1.58,"NA",1.58,2.38,0.8,31157.9865168539,9882.01348314607,27670.4819277108,13369.5180722892,0.483168963490301,4
"48",853,23,"Sat",2014-08-30,2014,1899-12-31 07:40:00,"North Melbourne","Melbourne",17174,"Docklands",1.08,8.03,"166.5",1.08,8.03,6.95,31157.9865168539,-13983.9865168539,27670.4819277108,-10496.4819277108,-0.379338601876646,7
"49",865,22,"Sat",2014-08-23,2014,1899-12-31 01:45:00,"North Melbourne","Adelaide",10702,"Bellerive",1.85,1.97,"183.5",1.85,1.97,0.12,12573.0555555556,-1871.05555555555,12573.0555555556,-1871.05555555555,-0.148814705167576,1
"50",869,21,"Sun",2014-08-17,2014,1899-12-31 01:10:00,"North Melbourne","Western Bulldogs",27164,"Docklands",1.35,3.22,"186.5",1.35,3.22,1.87,31157.9865168539,-3993.98651685393,27670.4819277108,-506.481927710844,-0.0183040515533495,1
"51",889,19,"Sat",2014-08-02,2014,1899-12-31 07:40:00,"North Melbourne","Geelong",32564,"Docklands",2.23,1.65,"189.5",1.65,2.23,0.58,31157.9865168539,1406.01348314607,27670.4819277108,4893.51807228916,0.176849759432216,7
"52",909,17,"Sat",2014-07-12,2014,1899-12-31 02:10:00,"North Melbourne","St Kilda",10641,"Bellerive",1.04,11.65,"177.5",1.04,11.65,10.61,12573.0555555556,-1932.05555555555,12573.0555555556,-1932.05555555555,-0.153666349998895,2
"53",920,16,"Fri",2014-07-04,2014,1899-12-31 07:50:00,"North Melbourne","Hawthorn",35025,"Docklands",3.89,1.25,"195.5",1.25,3.89,2.64,31157.9865168539,3867.01348314607,27670.4819277108,7354.51807228916,0.265789301809157,7
"54",949,12,"Sun",2014-06-08,2014,1899-12-31 07:10:00,"North Melbourne","Richmond",32977,"Docklands",1.31,3.43,"181.5",1.31,3.43,2.12,31157.9865168539,1819.01348314607,27670.4819277108,5306.51807228916,0.19177541201315,7
"55",974,9,"Sat",2014-05-17,2014,1899-12-31 04:40:00,"North Melbourne","Brisbane Lions",21152,"Docklands",1.06,9.34,"183.5",1.06,9.34,8.28,31157.9865168539,-10005.9865168539,27670.4819277108,-6518.48192771084,-0.235575294450613,4
"56",986,7,"Sun",2014-05-04,2014,1899-12-31 01:10:00,"North Melbourne","Gold Coast",19819,"Docklands",1.26,3.78,"182.5",1.26,3.78,2.52,31157.9865168539,-11338.9865168539,27670.4819277108,-7851.48192771084,-0.283749374088346,1
"57",1021,3,"Sun",2014-04-06,2014,1899-12-31 04:10:00,"North Melbourne","Port Adelaide",19111,"Docklands",2.07,1.74,"193.5",1.74,2.07,0.33,31157.9865168539,-12046.9865168539,27670.4819277108,-8559.48192771084,-0.309336207084231,4
"58",1041,1,"Fri",2014-03-21,2014,1899-12-31 07:50:00,"North Melbourne","Essendon",42332,"Docklands",1.45,2.69,"199.5",1.45,2.69,1.24,31157.9865168539,11174.0134831461,27670.4819277108,14661.5180722892,0.529861319748329,7
"59",1061,22,"Sat",2015-08-29,2015,1899-12-31 04:35:00,"North Melbourne","Western Bulldogs",37299,"Docklands",1.63,2.27,"188.5",1.63,2.27,0.64,31157.9865168539,6141.01348314607,27670.4819277108,9628.51807228916,0.347970739990856,4
"60",1067,21,"Sun",2015-08-23,2015,1899-12-31 01:10:00,"North Melbourne","Fremantle",23857,"Docklands",1.66,2.23,"174.5",1.66,2.23,0.57,31157.9865168539,-7300.98651685393,27670.4819277108,-3813.48192771084,-0.137817690984695,1
"61",1080,20,"Sat",2015-08-15,2015,1899-12-31 02:10:00,"North Melbourne","St Kilda",14346,"Bellerive",1.16,5.23,"182.5",1.16,5.23,4.07,12573.0555555556,1772.94444444445,12573.0555555556,1772.94444444445,0.141011422132868,2
"62",1118,16,"Fri",2015-07-17,2015,1899-12-31 07:50:00,"North Melbourne","Essendon",31025,"Docklands",1.2,4.52,"179.5",1.2,4.52,3.32,31157.9865168539,-132.986516853933,27670.4819277108,3354.51807228916,0.12123092330133,7
"63",1123,15,"Sat",2015-07-11,2015,1899-12-31 07:20:00,"North Melbourne","Geelong",31270,"Docklands",2.03,1.79,"188.5",1.79,2.03,0.24,31157.9865168539,112.013483146067,27670.4819277108,3599.51807228916,0.130085123984935,7
"64",1150,11,"Sat",2015-06-13,2015,1899-12-31 07:20:00,"North Melbourne","Sydney",32127,"Docklands",2.56,1.51,"180.5",1.51,2.56,1.05,31157.9865168539,969.013483146067,27670.4819277108,4456.51807228916,0.161056756580236,7
"65",1156,10,"Sun",2015-06-07,2015,1899-12-31 03:20:00,"North Melbourne","West Coast",12011,"Bellerive",2.1,1.73,"176.5",1.73,2.1,0.37,12573.0555555556,-562.055555555555,12573.0555555556,-562.055555555555,-0.0447031791971367,3
"66",1197,6,"Sat",2015-05-09,2015,1899-12-31 01:45:00,"North Melbourne","Richmond",17544,"Bellerive",1.59,2.35,"183.5",1.59,2.35,0.76,12573.0555555556,4970.94444444445,12573.0555555556,4970.94444444445,0.395364867551864,1
"67",1203,5,"Sat",2015-05-02,2015,1899-12-31 07:25:00,"North Melbourne","Hawthorn",38077,"Docklands",3.32,1.33,"196.5",1.33,3.32,1.99,31157.9865168539,6919.01348314607,27670.4819277108,10406.5180722892,0.376087344610629,7
"68",1221,3,"Sat",2015-04-18,2015,1899-12-31 07:20:00,"North Melbourne","Port Adelaide",22586,"Docklands",1.9,1.9,"183.5",1.9,1.9,0,31157.9865168539,-8571.98651685393,27670.4819277108,-5084.48192771084,-0.183751115755557,7
"69",1226,2,"Sun",2015-04-12,2015,1899-12-31 04:40:00,"North Melbourne","Brisbane Lions",22275,"Docklands",1.14,5.78,"184.5",1.14,5.78,4.64,31157.9865168539,-8882.98651685393,27670.4819277108,-5395.48192771084,-0.194990529684541,4
"70",1248,23,"Sat",2016-08-27,2016,1899-12-31 07:25:00,"North Melbourne","Greater Western Sydney",22295,"Docklands",2.7,1.46,"179.5",1.46,2.7,1.24,31157.9865168539,-8862.98651685393,27670.4819277108,-5375.48192771084,-0.194267737792001,7
"71",1260,22,"Sat",2016-08-20,2016,1899-12-31 01:45:00,"North Melbourne","Sydney",16495,"Bellerive",3.47,1.31,"170",1.31,3.47,2.16,12573.0555555556,3921.94444444445,12573.0555555556,3921.94444444445,0.311932483485408,1
"72",1284,19,"Sat",2016-07-30,2016,1899-12-31 07:25:00,"North Melbourne","St Kilda",44287,"Docklands",1.47,2.65,"180.5",1.47,2.65,1.18,31157.9865168539,13129.0134831461,27670.4819277108,16616.5180722892,0.600514227244029,7
"73",1303,17,"Sat",2016-07-16,2016,1899-12-31 04:35:00,"North Melbourne","Port Adelaide",24361,"Docklands",1.39,2.95,"188.5",1.39,2.95,1.56,31157.9865168539,-6796.98651685393,27670.4819277108,-3309.48192771084,-0.119603335292709,4
"74",1333,13,"Fri",2016-06-17,2016,1899-12-31 07:50:00,"North Melbourne","Hawthorn",37073,"Docklands",3.41,1.32,"192.5",1.32,3.41,2.09,31157.9865168539,5915.01348314607,27670.4819277108,9402.51807228916,0.339803191605164,7
"75",1351,11,"Fri",2016-06-03,2016,1899-12-31 07:50:00,"North Melbourne","Richmond",17844,"Bellerive",1.56,2.43,"178.5",1.56,2.43,0.87,12573.0555555556,5270.94444444445,12573.0555555556,5270.94444444445,0.419225415902614,7
"76",1365,9,"Sat",2016-05-21,2016,1899-12-31 07:25:00,"North Melbourne","Carlton",38419,"Docklands",1.24,4.07,"180.5",1.24,4.07,2.83,31157.9865168539,7261.01348314607,27670.4819277108,10748.5180722892,0.388447085973048,7
"77",1396,6,"Fri",2016-04-29,2016,1899-12-31 07:50:00,"North Melbourne","Western Bulldogs",47622,"Docklands",1.8,2.01,"189.5",1.8,2.01,0.21,31157.9865168539,16464.0134831461,27670.4819277108,19951.5180722892,0.72103977532493,7
"78",1406,4,"Sun",2016-04-17,2016,1899-12-31 04:40:00,"North Melbourne","Fremantle",23393,"Docklands",1.23,4.15,"180.5",1.23,4.15,2.92,31157.9865168539,-7764.98651685393,27670.4819277108,-4277.48192771084,-0.154586462891603,4
"79",1417,3,"Sun",2016-04-10,2016,1899-12-31 01:10:00,"North Melbourne","Melbourne",12607,"Bellerive",1.13,6.03,"162.5",1.13,6.03,4.9,12573.0555555556,33.9444444444453,12573.0555555556,33.9444444444453,0.00269977685968678,1
"80",1437,1,"Sat",2016-03-26,2016,1899-12-31 07:25:00,"North Melbourne","Adelaide",25485,"Docklands",1.43,2.81,"194.5",1.43,2.81,1.38,31157.9865168539,-5672.98651685393,27670.4819277108,-2185.48192771084,-0.0789824309320097,7
"81",1473,20,"Sat",2017-08-05,2017,1899-12-31 07:25:00,"North Melbourne","Collingwood",33394,"Docklands",2.81,1.43,"196.5",1.43,2.81,1.38,31157.9865168539,2236.01348314607,27670.4819277108,5723.51807228916,0.206845622972591,7
"82",1485,19,"Sat",2017-07-29,2017,1899-12-31 01:45:00,"North Melbourne","Melbourne",13939,"Bellerive",3.07,1.37,"189.5",1.37,3.07,1.7,12573.0555555556,1365.94444444445,12573.0555555556,1365.94444444445,0.108640611537017,1
"83",1507,16,"Sun",2017-07-09,2017,1899-12-31 01:10:00,"North Melbourne","Fremantle",19267,"Docklands",1.41,2.9,"183.5",1.41,2.9,1.49,31157.9865168539,-11890.9865168539,27670.4819277108,-8403.48192771084,-0.303698430322426,1
"84",1536,13,"Fri",2017-06-16,2017,1899-12-31 07:50:00,"North Melbourne","St Kilda",26107,"Docklands",1.99,1.81,"181.5",1.81,1.99,0.18,31157.9865168539,-5050.98651685393,27670.4819277108,-1563.48192771084,-0.0565036030740426,7
"85",1546,11,"Sat",2017-06-03,2017,1899-12-31 07:25:00,"North Melbourne","Richmond",36100,"Docklands",1.9,1.88,"184.5",1.88,1.9,0.02,31157.9865168539,4942.01348314607,27670.4819277108,8429.51807228916,0.304639366033135,7
"86",1568,8,"Sun",2017-05-14,2017,1899-12-31 04:40:00,"North Melbourne","Sydney",21589,"Docklands",1.71,2.14,"186.5",1.71,2.14,0.43,31157.9865168539,-9568.98651685393,27670.4819277108,-6081.48192771084,-0.219782291598633,4
"87",1584,7,"Sat",2017-05-06,2017,1899-12-31 01:45:00,"North Melbourne","Adelaide",10064,"Bellerive",5.58,1.15,"174.5",1.15,5.58,4.43,12573.0555555556,-2509.05555555555,12573.0555555556,-2509.05555555555,-0.199558137993505,1
"88",1590,6,"Sat",2017-04-29,2017,1899-12-31 07:25:00,"North Melbourne","Gold Coast",15431,"Docklands",1.43,2.82,"196.5",1.43,2.82,1.39,31157.9865168539,-15726.9865168539,27670.4819277108,-12239.4819277108,-0.442329915311432,7
"89",1611,4,"Fri",2017-04-14,2017,1899-12-31 04:20:00,"North Melbourne","Western Bulldogs",42814,"Docklands",3.54,1.3,"184.5",1.3,3.54,2.24,31157.9865168539,11656.0134831461,27670.4819277108,15143.5180722892,0.547280604358522,4
"90",1620,3,"Sat",2017-04-08,2017,1899-12-31 01:45:00,"North Melbourne","Greater Western Sydney",8758,"Bellerive",4.31,1.22,"205.5",1.22,4.31,3.09,12573.0555555556,-3815.05555555555,12573.0555555556,-3815.05555555555,-0.303431058480436,1
"91",1633,1,"Sun",2017-03-26,2017,1899-12-31 01:10:00,"North Melbourne","West Coast",21997,"Docklands",3.4,1.32,"186.5",1.32,3.4,2.08,31157.9865168539,-9160.98651685393,27670.4819277108,-5673.48192771084,-0.205037336990834,1
