"","...1","Round","Day","Date","Year","Time","Home","Away","Attendance","Venue","Home.Odds","Away.Odds","Line","Favorite","Underdog","Differential","venueavg","Attendance_Differential","HomeVenueAvg","HomeDifferential","HomeDifferentialPct","TimeBucket"
"36",290,21,"Sun",2011-08-14,2011,1899-12-31 04:10:00,"Adelaide","Geelong",33576,"Football",8.8,1.06,"NA",1.06,8.8,7.74,29323.4845360825,4252.51546391753,35829.2040816327,-2253.20408163266,-0.0628873607267131,4
"37",304,20,"Sat",2011-08-06,2011,1899-12-31 01:40:00,"Geelong","Gold Coast",24588,"Kardinia",1.01,17.03,"NA",1.01,17.03,16.02,24884.9718309859,-296.971830985916,24884.9718309859,-296.971830985916,-0.0119337820835359,1
"38",310,19,"Sat",2011-07-30,2011,1899-12-31 02:10:00,"Geelong","Melbourne",22716,"Kardinia",1.07,8.33,"NA",1.07,8.33,7.26,24884.9718309859,-2168.97183098592,24884.9718309859,-2168.97183098592,-0.0871599070200749,2
"39",315,18,"Sun",2011-07-24,2011,1899-12-31 01:10:00,"Geelong","Richmond",33761,"Docklands",1.06,8.8,"NA",1.06,8.8,7.74,31157.9865168539,2603.01348314607,39256,-5495,-0.139978601997147,1
"40",322,17,"Sun",2011-07-17,2011,1899-12-31 02:10:00,"Brisbane Lions","Geelong",19906,"Gabba",7.26,1.09,"NA",1.09,7.26,6.17,20680.4862385321,-774.48623853211,20786.5428571429,-880.542857142857,-0.0423611979728643,2
"41",335,16,"Fri",2011-07-08,2011,1899-12-31 06:40:00,"West Coast","Geelong",40164,"Subiaco",2.25,1.62,"NA",1.62,2.25,0.63,35153.3529411765,5010.64705882353,36141.247311828,4022.75268817204,0.111306415450014,6
"42",340,15,"Sat",2011-07-02,2011,1899-12-31 07:10:00,"Essendon","Geelong",43806,"Docklands",7.76,1.08,"NA",1.08,7.76,6.68,31157.9865168539,12648.0134831461,36322.6666666667,7483.33333333334,0.206023786799795,7
"43",346,14,"Sun",2011-06-26,2011,1899-12-31 01:10:00,"Geelong","Adelaide",23246,"Kardinia",1.06,8.92,"NA",1.06,8.92,7.86,24884.9718309859,-1638.97183098592,24884.9718309859,-1638.97183098592,-0.0658619122463753,1
"44",356,13,"Sat",2011-06-18,2011,1899-12-31 07:10:00,"St Kilda","Geelong",39539,"M.C.G.",3.65,1.27,"NA",1.27,3.65,2.38,50394.4829157175,-10855.4829157175,42675.375,-3136.375,-0.0734937888653585,7
"45",364,12,"Sat",2011-06-11,2011,1899-12-31 07:10:00,"Geelong","Hawthorn",63476,"M.C.G.",1.44,2.73,"NA",1.44,2.73,1.29,50394.4829157175,13081.5170842825,63025.65,450.349999999999,0.00714550345771918,7
"46",373,11,"Sat",2011-06-04,2011,1899-12-31 02:10:00,"Geelong","Western Bulldogs",25078,"Kardinia",1.11,6.55,"NA",1.11,6.55,5.44,24884.9718309859,193.028169014084,24884.9718309859,193.028169014084,0.00775681685818634,2
"47",380,10,"Sat",2011-05-28,2011,1899-12-31 07:20:00,"Gold Coast","Geelong",21485,"Carrara",12.5,1.03,"NA",1.03,12.5,11.47,14013.1604938272,7471.83950617284,14048.65,7436.35,0.529328440811039,7
"48",391,9,"Fri",2011-05-20,2011,1899-12-31 07:40:00,"Carlton","Geelong",48429,"Docklands",2.74,1.44,"NA",1.44,2.74,1.3,31157.9865168539,17271.0134831461,32309.6481481481,16119.3518518519,0.498902116728119,7
"49",399,8,"Fri",2011-05-13,2011,1899-12-31 07:40:00,"Geelong","Collingwood",81691,"M.C.G.",2.62,1.48,"NA",1.48,2.62,1.14,50394.4829157175,31296.5170842825,63025.65,18665.35,0.296154819506027,7
"50",405,7,"Sat",2011-05-07,2011,1899-12-31 02:10:00,"Geelong","North Melbourne",23669,"Kardinia",1.07,8.35,"NA",1.07,8.35,7.28,24884.9718309859,-1215.97183098592,24884.9718309859,-1215.97183098592,-0.0488637013232151,2
"51",415,5,"Tue",2011-04-26,2011,1899-12-31 02:40:00,"Hawthorn","Geelong",78579,"M.C.G.",2.02,1.75,"NA",1.75,2.02,0.27,50394.4829157175,28184.5170842825,49782.9508196721,28796.0491803279,0.578431947206892,2
"52",425,4,"Sat",2011-04-16,2011,1899-12-31 07:10:00,"Sydney","Geelong",25300,"S.C.G.",2.07,1.72,"NA",1.72,2.07,0.35,29955.7356321839,-4655.73563218391,29955.7356321839,-4655.73563218391,-0.155420507423021,7
"53",430,3,"Sun",2011-04-10,2011,1899-12-31 02:10:00,"Geelong","Port Adelaide",22420,"Kardinia",1.07,7.96,"NA",1.07,7.96,6.89,24884.9718309859,-2464.97183098592,24884.9718309859,-2464.97183098592,-0.0990546361767072,2
"54",441,2,"Sat",2011-04-02,2011,1899-12-31 05:40:00,"Fremantle","Geelong",37004,"Subiaco",1.67,2.15,"NA",1.67,2.15,0.48,35153.3529411765,1850.64705882353,34175.9680851064,2828.03191489362,0.0827491384545754,5
"55",451,1,"Fri",2011-03-25,2011,1899-12-31 07:45:00,"Geelong","St Kilda",42869,"M.C.G.",2.18,1.68,"NA",1.68,2.18,0.5,50394.4829157175,-7525.48291571754,63025.65,-20156.65,-0.319816614346699,7
"56",460,23,"Sat",2012-09-01,2012,1899-12-31 01:45:00,"Geelong","Sydney",20045,"Kardinia",1.65,2.2,"NA",1.65,2.2,0.55,24884.9718309859,-4839.97183098592,24884.9718309859,-4839.97183098592,-0.194493763700361,1
"57",464,22,"Sun",2012-08-26,2012,1899-12-31 01:10:00,"Geelong","Western Bulldogs",18047,"Kardinia",1.02,15.55,"NA",1.02,15.55,14.53,24884.9718309859,-6837.97183098592,24884.9718309859,-6837.97183098592,-0.274783185507629,1
"58",479,21,"Fri",2012-08-17,2012,1899-12-31 07:50:00,"Geelong","St Kilda",38169,"Docklands",1.31,3.38,"NA",1.31,3.38,2.07,31157.9865168539,7011.01348314607,39256,-1087,-0.0276900346443856,7
"59",488,20,"Fri",2012-08-10,2012,1899-12-31 06:40:00,"West Coast","Geelong",37812,"Subiaco",1.68,2.15,"NA",1.68,2.15,0.47,35153.3529411765,2658.64705882353,36141.247311828,1670.75268817204,0.0462284180110533,6
"60",497,19,"Fri",2012-08-03,2012,1899-12-31 07:50:00,"Hawthorn","Geelong",65287,"M.C.G.",1.29,3.61,"NA",1.29,3.61,2.32,50394.4829157175,14892.5170842825,49782.9508196721,15504.0491803279,0.311432908758018,7
"61",505,18,"Sat",2012-07-28,2012,1899-12-31 01:45:00,"Geelong","Adelaide",18377,"Kardinia",1.61,2.27,"NA",1.61,2.27,0.66,24884.9718309859,-6507.97183098592,24884.9718309859,-6507.97183098592,-0.261522169893816,1
"62",515,17,"Fri",2012-07-20,2012,1899-12-31 07:50:00,"Geelong","Essendon",50066,"Docklands",2.02,1.76,"NA",1.76,2.02,0.26,31157.9865168539,18908.0134831461,39256,10810,0.275371917668637,7
"63",520,16,"Sat",2012-07-14,2012,1899-12-31 07:40:00,"Geelong","Collingwood",61717,"M.C.G.",2.65,1.48,"NA",1.48,2.65,1.17,50394.4829157175,11322.5170842825,63025.65,-1308.65,-0.0207637684022299,7
"64",526,15,"Sun",2012-07-08,2012,1899-12-31 03:15:00,"Gold Coast","Geelong",15824,"Carrara",12.68,1.03,"NA",1.03,12.68,11.65,14013.1604938272,1810.83950617284,14048.65,1775.35,0.126371573069298,3
"65",536,14,"Sun",2012-07-01,2012,1899-12-31 01:10:00,"Geelong","Port Adelaide",13736,"Kardinia",1.04,11.25,"NA",1.04,11.25,10.21,24884.9718309859,-11148.9718309859,24884.9718309859,-11148.9718309859,-0.448020271298985,1
"66",548,13,"Fri",2012-06-22,2012,1899-12-31 07:50:00,"Sydney","Geelong",27400,"S.C.G.",1.6,2.3,"NA",1.6,2.3,0.7,29955.7356321839,-2555.73563218391,29955.7356321839,-2555.73563218391,-0.0853170712802683,7
"67",560,11,"Fri",2012-06-08,2012,1899-12-31 07:50:00,"Carlton","Geelong",47632,"Docklands",2.74,1.44,"NA",1.44,2.74,1.3,31157.9865168539,16474.0134831461,32309.6481481481,15322.3518518519,0.474234562431472,7
"68",568,10,"Sat",2012-06-02,2012,1899-12-31 01:45:00,"Geelong","Greater Western Sydney",17243,"Kardinia",1.01,19.57,"NA",1.01,19.57,18.56,24884.9718309859,-7641.97183098592,24884.9718309859,-7641.97183098592,-0.307091841730373,1
"69",578,9,"Fri",2012-05-25,2012,1899-12-31 07:50:00,"Western Bulldogs","Geelong",29118,"Docklands",4.78,1.18,"NA",1.18,4.78,3.6,31157.9865168539,-2039.98651685393,28841.2391304348,276.760869565216,0.00959601174948006,7
"70",587,8,"Fri",2012-05-18,2012,1899-12-31 07:50:00,"Collingwood","Geelong",75650,"M.C.G.",1.61,2.29,"NA",1.61,2.29,0.68,50394.4829157175,25255.5170842825,57107.1149425287,18542.8850574713,0.324703586867107,7
"71",595,7,"Sat",2012-05-12,2012,1899-12-31 12:45:00,"Adelaide","Geelong",35535,"Football",2.04,1.76,"NA",1.76,2.04,0.28,29323.4845360825,6211.51546391753,35829.2040816327,-294.204081632655,-0.00821129269191539,12
"72",603,6,"Sat",2012-05-05,2012,1899-12-31 01:45:00,"Geelong","Melbourne",18010,"Kardinia",1.03,11.68,"NA",1.03,11.68,10.65,24884.9718309859,-6874.97183098592,24884.9718309859,-6874.97183098592,-0.276270026652208,1
"73",609,5,"Sat",2012-04-28,2012,1899-12-31 07:45:00,"Brisbane Lions","Geelong",15534,"Gabba",3.61,1.28,"NA",1.28,3.61,2.33,20680.4862385321,-5146.48623853211,20786.5428571429,-5252.54285714286,-0.252689583508011,7
"74",617,4,"Sun",2012-04-22,2012,1899-12-31 01:10:00,"Geelong","Richmond",21952,"Kardinia",1.15,5.19,"NA",1.15,5.19,4.04,24884.9718309859,-2932.97183098592,24884.9718309859,-2932.97183098592,-0.117861167410842,1
"75",624,3,"Sun",2012-04-15,2012,1899-12-31 04:40:00,"North Melbourne","Geelong",29630,"Docklands",4.09,1.22,"NA",1.22,4.09,2.87,31157.9865168539,-1527.98651685393,27670.4819277108,1959.51807228916,0.0708161887967257,4
"76",633,2,"Mon",2012-04-09,2012,1899-12-31 03:10:00,"Geelong","Hawthorn",69231,"M.C.G.",2.48,1.53,"NA",1.53,2.48,0.95,50394.4829157175,18836.5170842825,63025.65,6205.35,0.0984575327664213,3
"77",645,1,"Sat",2012-03-31,2012,1899-12-31 04:45:00,"Fremantle","Geelong",34601,"Subiaco",1.96,1.79,"NA",1.79,1.96,0.17,35153.3529411765,-552.352941176468,34175.9680851064,425.031914893618,0.0124365727939348,4
"78",657,23,"Sat",2013-08-31,2013,1899-12-31 02:10:00,"Geelong","Brisbane Lions",27467,"Kardinia",1.04,10.44,"NA",1.04,10.44,9.4,24884.9718309859,2582.02816901408,24884.9718309859,2582.02816901408,0.103758532923032,2
"79",665,22,"Sat",2013-08-24,2013,1899-12-31 04:40:00,"Geelong","Sydney",28459,"Kardinia",1.46,2.71,"NA",1.46,2.71,1.25,24884.9718309859,3574.02816901408,24884.9718309859,3574.02816901408,0.14362194955607,4
"80",673,21,"Sat",2013-08-17,2013,1899-12-31 05:40:00,"West Coast","Geelong",34394,"Subiaco",2.65,1.48,"NA",1.48,2.65,1.17,35153.3529411765,-759.352941176468,36141.247311828,-1747.24731182796,-0.0483449643215866,5
"81",684,20,"Sat",2013-08-10,2013,1899-12-31 02:10:00,"Geelong","Port Adelaide",24784,"Kardinia",1.11,6.53,"NA",1.11,6.53,5.42,24884.9718309859,-100.971830985916,24884.9718309859,-100.971830985916,-0.00405754250684703,2
"82",695,19,"Fri",2013-08-02,2013,1899-12-31 07:50:00,"North Melbourne","Geelong",33584,"Docklands",3.35,1.32,"NA",1.32,3.35,2.03,31157.9865168539,2426.01348314607,27670.4819277108,5913.51807228916,0.213712145951712,7
"83",700,18,"Sat",2013-07-27,2013,1899-12-31 07:40:00,"Geelong","St Kilda",26833,"Kardinia",1.07,8.27,"NA",1.07,8.27,7.2,24884.9718309859,1948.02816901408,24884.9718309859,1948.02816901408,0.0782813089861916,7
"84",706,17,"Sun",2013-07-21,2013,1899-12-31 02:50:00,"Adelaide","Geelong",28603,"Football",4.36,1.21,"NA",1.21,4.36,3.15,29323.4845360825,-720.484536082473,35829.2040816327,-7226.20408163266,-0.201684750383196,2
