"","...1","Round","Day","Date","Year","Time","Home","Away","Attendance","Venue","Home.Odds","Away.Odds","Line","Favorite","Underdog","Differential","venueavg","Attendance_Differential","HomeVenueAvg","HomeDifferential","HomeDifferentialPct","TimeBucket"
"45",369,11,"Sun",2011-06-05,2011,1899-12-31 02:10:00,"North Melbourne","Adelaide",18185,"Docklands",1.6,2.29,"NA",1.6,2.29,0.69,31157.9865168539,-12972.9865168539,27670.4819277108,-9485.48192771084,-0.342801471708793,2
"46",381,10,"Sat",2011-05-28,2011,1899-12-31 02:10:00,"North Melbourne","Sydney",24267,"Docklands",2.02,1.76,"NA",1.76,2.02,0.26,31157.9865168539,-6890.98651685393,27670.4819277108,-3403.48192771084,-0.123000457187643,2
"47",387,9,"Sat",2011-05-21,2011,1899-12-31 07:40:00,"Brisbane Lions","North Melbourne",18404,"Gabba",1.88,1.87,"NA",1.87,1.88,0.00999999999999979,20680.4862385321,-2276.48623853211,20786.5428571429,-2382.54285714286,-0.114619485958635,7
"48",398,8,"Sat",2011-05-14,2011,1899-12-31 02:10:00,"North Melbourne","Melbourne",23536,"Docklands",1.81,1.95,"NA",1.81,1.95,0.14,31157.9865168539,-7621.98651685393,27670.4819277108,-4134.48192771084,-0.149418500859948,2
"49",405,7,"Sat",2011-05-07,2011,1899-12-31 02:10:00,"Geelong","North Melbourne",23669,"Kardinia",1.07,8.35,"NA",1.07,8.35,7.28,24884.9718309859,-1215.97183098592,24884.9718309859,-1215.97183098592,-0.0488637013232151,2
"50",412,6,"Sat",2011-04-30,2011,1899-12-31 02:10:00,"North Melbourne","Port Adelaide",16014,"Docklands",1.45,2.72,"NA",1.45,2.72,1.27,31157.9865168539,-15143.9865168539,27670.4819277108,-11656.4819277108,-0.421260531643916,2
"51",418,5,"Sun",2011-04-24,2011,1899-12-31 04:40:00,"North Melbourne","Richmond",36461,"Docklands",1.82,1.94,"NA",1.82,1.94,0.12,31157.9865168539,5303.01348314607,27670.4819277108,8790.51807228916,0.317685759693467,4
"52",422,4,"Sun",2011-04-17,2011,1899-12-31 02:40:00,"Fremantle","North Melbourne",34779,"Subiaco",1.18,4.82,"NA",1.18,4.82,3.64,35153.3529411765,-374.352941176468,34175.9680851064,603.031914893618,0.0176449109910193,2
"53",443,2,"Sat",2011-04-02,2011,1899-12-31 02:10:00,"North Melbourne","Collingwood",40578,"Docklands",6.7,1.1,"NA",1.1,6.7,5.6,31157.9865168539,9420.01348314607,27670.4819277108,12907.5180722892,0.466472470772647,2
"54",445,1,"Sun",2011-03-27,2011,1899-12-31 04:10:00,"West Coast","North Melbourne",35878,"Subiaco",1.61,2.27,"NA",1.61,2.27,0.66,35153.3529411765,724.647058823532,36141.247311828,-263.247311827959,-0.00728384688986112,4
"55",458,23,"Sat",2012-09-01,2012,1899-12-31 04:40:00,"Greater Western Sydney","North Melbourne",6696,"Sydney",16,1.01,"NA",1.01,16,14.99,10800.6603773585,-4104.66037735849,10800.6603773585,-4104.66037735849,-0.380037908234123,4
"56",463,22,"Sun",2012-08-26,2012,1899-12-31 03:15:00,"North Melbourne","Fremantle",26482,"Docklands",1.27,3.67,"NA",1.27,3.67,2.4,31157.9865168539,-4675.98651685393,27670.4819277108,-1188.48192771084,-0.0429512550889339,3
"57",475,21,"Sat",2012-08-18,2012,1899-12-31 07:40:00,"Collingwood","North Melbourne",44956,"Docklands",1.31,3.42,"NA",1.31,3.42,2.11,31157.9865168539,13798.0134831461,35366.8421052632,9589.15789473684,0.271134128011667,7
"58",480,20,"Sun",2012-08-12,2012,1899-12-31 04:40:00,"Essendon","North Melbourne",42674,"Docklands",2.19,1.65,"NA",1.65,2.19,0.54,31157.9865168539,11516.0134831461,36322.6666666667,6351.33333333334,0.17485867410616,4
"59",496,19,"Sat",2012-08-04,2012,1899-12-31 01:45:00,"Western Bulldogs","North Melbourne",21599,"Docklands",7.84,1.08,"NA",1.08,7.84,6.76,31157.9865168539,-9558.98651685393,28841.2391304348,-7242.23913043478,-0.251107072677484,1
"60",504,18,"Sat",2012-07-28,2012,1899-12-31 02:10:00,"North Melbourne","Melbourne",20816,"Docklands",1.09,7.67,"NA",1.09,7.67,6.58,31157.9865168539,-10341.9865168539,27670.4819277108,-6854.48192771084,-0.24771819824527,2
"61",508,17,"Sun",2012-07-22,2012,1899-12-31 03:15:00,"Richmond","North Melbourne",47432,"M.C.G.",2.1,1.73,"NA",1.73,2.1,0.37,50394.4829157175,-2962.48291571754,50149.0454545455,-2717.04545454546,-0.0541794052093804,3
