"","...1","Round","Day","Date","Year","Time","Home","Away","Attendance","Venue","Home.Odds","Away.Odds","Line","Favorite","Underdog","Differential","venueavg","Attendance_Differential","HomeVenueAvg","HomeDifferential","HomeDifferentialPct","TimeBucket"
"51",879,20,"Sat",2014-08-09,2014,1899-12-31 07:40:00,"Geelong","Fremantle",26885,"Kardinia",1.46,2.75,"159.5",1.46,2.75,1.29,24884.9718309859,2000.02816901408,24884.9718309859,2000.02816901408,0.0803709235677622,7
"52",912,16,"Sun",2014-07-06,2014,1899-12-31 04:40:00,"Geelong","Western Bulldogs",24766,"Kardinia",1.13,5.72,"175.5",1.13,5.72,4.59,24884.9718309859,-118.971830985916,24884.9718309859,-118.971830985916,-0.00478087063123683,4
"53",929,15,"Fri",2014-06-27,2014,1899-12-31 07:50:00,"Geelong","Essendon",43732,"Docklands",1.36,3.09,"185.5",1.36,3.09,1.73,31157.9865168539,12574.0134831461,39256,4476,0.114020786631343,7
"54",941,13,"Sun",2014-06-15,2014,1899-12-31 01:10:00,"Geelong","St Kilda",25180,"Kardinia",1.03,12.66,"182.5",1.03,12.66,11.63,24884.9718309859,295.028169014084,24884.9718309859,295.028169014084,0.0118556762297285,1
"55",956,12,"Fri",2014-06-06,2014,1899-12-31 07:50:00,"Geelong","Carlton",36952,"Docklands",1.18,4.74,"189.5",1.18,4.74,3.56,31157.9865168539,5794.01348314607,39256,-2304,-0.0586916649684125,7
"56",971,10,"Fri",2014-05-23,2014,1899-12-31 07:50:00,"Geelong","North Melbourne",27402,"Kardinia",1.54,2.46,"169.5",1.54,2.46,0.92,24884.9718309859,2517.02816901408,24884.9718309859,2517.02816901408,0.101146514696069,7
"57",985,7,"Sun",2014-05-04,2014,1899-12-31 03:20:00,"Geelong","Richmond",34377,"M.C.G.",1.19,4.49,"176.5",1.19,4.49,3.3,50394.4829157175,-16017.4829157175,63025.65,-28648.65,-0.454555407203258,3
"58",1002,5,"Mon",2014-04-21,2014,1899-12-31 03:20:00,"Geelong","Hawthorn",80222,"M.C.G.",2.52,1.52,"187.5",1.52,2.52,1,50394.4829157175,29827.5170842825,63025.65,17196.35,0.272846848862328,3
"59",1014,4,"Sat",2014-04-12,2014,1899-12-31 07:40:00,"Geelong","West Coast",25271,"Kardinia",1.16,5.07,"177.5",1.16,5.07,3.91,24884.9718309859,386.028169014084,24884.9718309859,386.028169014084,0.0155125017474769,7
"60",1042,1,"Thu",2014-03-20,2014,1899-12-31 07:10:00,"Geelong","Adelaide",23622,"Kardinia",1.33,3.29,"186.5",1.33,3.29,1.96,24884.9718309859,-1262.97183098592,24884.9718309859,-1262.97183098592,-0.0507523914257884,7
"61",1054,23,"Sat",2015-09-05,2015,1899-12-31 01:05:00,"Geelong","Adelaide",26128,"Kardinia",2.16,1.69,"192.5",1.69,2.16,0.47,24884.9718309859,1243.02816901408,24884.9718309859,1243.02816901408,0.0499509574475912,1
"62",1064,22,"Fri",2015-08-28,2015,1899-12-31 07:50:00,"Geelong","Collingwood",40582,"M.C.G.",1.41,2.93,"175.5",1.41,2.93,1.52,50394.4829157175,-9812.48291571754,63025.65,-22443.65,-0.356103427731408,7
