"","Date","Round","Day","Year","Home","Away","Attendance","Venue","Home.Odds","Away.Odds","Line","Favorite","Underdog","Differential","venueavg","Attendance_Differential","HomeVenueAvg","HomeDifferential","HomeDifferentialPct","TimeBucket","Rain","rain.prior.day","rain.2days.prior","rain.3days.prior","rain.past.three.days","Home.Injuries.top5","Home.Injuries.top10","Home.Injuries.top25","Home.Injuries.top50","Home.Injuries.Total","Home.Rating.Points.Missing","Away.Injuries.top5","Away.Injuries.top10","Away.Injuries.top25","Away.Injuries.top50","Away.Injuries.Total","Away.Rating.Points.Missing","Total.Injuries.top5","Total.Injuries.top10","Total.Injuries.top25","Total.Injuries.top50","Total.Injuries.Total","Total.Rating.Points.Missing"
"40",2013-04-21,4,"Sun",2013,"Adelaide","Western Bulldogs",24684,"Football",1.11,6.46,"NA",1.11,6.46,5.35,29323.4845360825,-4639.48453608247,35829.2040816327,-11145.2040816327,-0.311064796645764,2,"9.1999999999999993","0","0","0","0",0,0,0,0,0,0,0,0,1,2,4,268.883940620783,0,0,1,2,4,268.883940620783
"41",2013-04-27,5,"Sat",2013,"Port Adelaide","West Coast",26132,"Football",1.97,1.82,"NA",1.82,1.97,0.15,29323.4845360825,-3191.48453608247,22682.2291666667,3449.77083333333,0.152091349046197,7,"0","0.2","0","0","0.2",0,0,0,0,0,0,0,0,0,0,1,42.4444444444444,0,0,0,0,1,42.4444444444444
"42",2013-05-04,6,"Sat",2013,"Adelaide","Hawthorn",37324,"Football",4.46,1.2,"NA",1.2,4.46,3.26,29323.4845360825,8000.51546391753,35829.2040816327,1494.79591836734,0.0417200425374124,4,"0.6","0","0","0","0",0,0,0,2,2,139.144444444444,0,0,1,1,1,88.8666666666666,0,0,1,3,3,228.011111111111
"43",2013-05-11,7,"Sat",2013,"Port Adelaide","Richmond",25372,"Football",1.55,2.43,"NA",1.55,2.43,0.88,29323.4845360825,-3951.48453608247,22682.2291666667,2689.77083333333,0.118584942139909,1,"0","0","0","0","0",0,0,0,0,0,0,0,1,1,3,4,313.513347763347,0,1,1,3,4,313.513347763347
"44",2013-05-19,8,"Sun",2013,"Adelaide","St Kilda",34605,"Football",1.33,3.32,"NA",1.33,3.32,1.99,29323.4845360825,5281.51546391753,35829.2040816327,-1224.20408163266,-0.0341677721571333,4,"0","0","0.2","1.6","1.8",0,0,0,0,0,0,0,0,0,0,1,48.5,0,0,0,0,1,48.5
"45",2013-05-25,9,"Sat",2013,"Port Adelaide","Geelong",21309,"Football",4.71,1.18,"NA",1.18,4.71,3.53,29323.4845360825,-8014.48453608247,22682.2291666667,-1373.22916666667,-0.0605420726762049,1,"0","NA","8.4","18.2","NA",0,0,1,1,3,200.875,0,0,0,0,1,54.076923076923,0,0,1,1,4,254.951923076923
"46",2013-06-01,10,"Sat",2013,"Adelaide","Fremantle",27684,"Football",1.81,1.98,"NA",1.81,1.98,0.17,29323.4845360825,-1639.48453608247,35829.2040816327,-8145.20408163266,-0.227334217725707,1,"11.2","0","NA","0","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47",2013-06-08,11,"Sat",2013,"Adelaide","Sydney",38374,"Football",2.47,1.53,"NA",1.53,2.47,0.94,29323.4845360825,9050.51546391753,35829.2040816327,2544.79591836734,0.0710257451594326,4,"0","6.6","0","0","6.6",0,0,0,0,1,60.7619047619047,0,0,0,0,2,73.1923076923076,0,0,0,0,3,133.954212454212
"48",2013-06-22,13,"Sat",2013,"Port Adelaide","Sydney",16096,"Football",7.12,1.1,"NA",1.1,7.12,6.02,29323.4845360825,-13227.4845360825,22682.2291666667,-6586.22916666667,-0.290369571626833,1,"17.600000000000001","6.8","0","1","7.8",0,1,1,1,2,135.623188405797,0,0,1,1,2,153.613636363636,0,1,2,2,4,289.236824769433
"49",2013-06-29,14,"Sat",2013,"Port Adelaide","Collingwood",31121,"Football",2.96,1.39,"NA",1.39,2.96,1.57,29323.4845360825,1797.51546391753,22682.2291666667,8438.77083333333,0.372043275434972,4,"0","0.2","0","0.4","0.6",0,0,0,0,0,0,0,0,1,2,2,169.176767676768,0,0,1,2,2,169.176767676768
"50",2013-07-06,15,"Sat",2013,"Adelaide","West Coast",26426,"Football",1.59,2.33,"NA",1.59,2.33,0.74,29323.4845360825,-2897.48453608247,35829.2040816327,-9403.20408163266,-0.262445240486184,7,"1.4","2.8","1","0","3.8",0,0,0,1,1,78.75,0,0,0,2,3,216.9,0,0,0,3,4,295.65
"51",2013-07-13,16,"Sat",2013,"Port Adelaide","Hawthorn",23748,"Football",3.29,1.33,"NA",1.33,3.29,1.96,29323.4845360825,-5575.48453608247,22682.2291666667,1065.77083333333,0.0469870410664736,1,"24","0.4","0","0","0.4",0,0,1,1,1,98.2173913043478,0,0,0,0,0,0,0,0,1,1,1,98.2173913043478
"52",2013-07-21,17,"Sun",2013,"Adelaide","Geelong",28603,"Football",4.36,1.21,"NA",1.21,4.36,3.15,29323.4845360825,-720.484536082473,35829.2040816327,-7226.20408163266,-0.201684750383196,2,"0.4","9","10.8","17.2","37",1,1,1,1,1,112.95,1,1,1,1,1,117.684210526315,2,2,2,2,2,230.634210526315
